Jorge Rodriguez;5163830091625613;2334;257001.32
Laura Martin;3457237189652112;9127;3467.21
Miguel Mendez;7891457284567145;3478;10940
Sonia Atanes;6789345671232459;9674;1200.45
Julian Ramirez;9678367825711524;1521;134800.01
Victor Fernandez-Vega;7891245117789342;4353;34500
Ana Arana;6700877751334444;6087;150.30
Sofia Machado;2300405068918350;5191;21467
Jaime Pechado;5489018176549200;2504;63.97
Samuel Pelado;5635772322321011;2202;1220
Alvaro López;5443221131425455;1234;685.73
Adrian González;5343434422211896;7895;5656.90

